Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TMPV.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,LTM.NS
2021-01-01,489.7408752441406,487.0433044433594,2383.682861328125,2633.825927734375,621.2062377929688,3002.03857421875,514.0640869140625,884.2992553710938,38.62397766113281,494.20819091796875,788.7807006835938,86.33708953857422,1015.8335571289062,2424.21337890625,906.5850830078125,759.400634765625,663.9057006835938,665.8002319335938,2560.681396484375,230.024169921875,2173.49609375,510.19140625,867.872802734375,1086.0970458984375,159.7165985107422,368.8980712890625,397.1507873535156,1218.873291015625,691.4932861328125,7371.63134765625,872.216552734375,80.07532501220703,67.06399536132812,80.89330291748047,897.0470581054688,884.6102905273438,253.2423095703125,194.43405151367188,562.5928955078125,573.8136596679688,181.69422912597656,54.24435806274414,2534.89697265625,800.0465698242188,1534.7293701171875,671.2726440429688,5147.884765625,445.8114013671875,178.8804931640625,3439.95703125
2021-01-04,493.081298828125,482.25848388671875,2378.155517578125,2613.091552734375,622.1024780273438,3037.56689453125,507.83807373046875,887.1205444335938,40.12126541137695,496.07891845703125,794.1722412109375,87.54905700683594,1021.8222045898438,2531.94775390625,936.7429809570312,783.2892456054688,659.689453125,682.9260864257812,2512.15283203125,245.41702270507812,2208.954345703125,514.253662109375,865.6553344726562,1110.052001953125,159.3804931640625,381.5827941894531,391.4745178222656,1235.4129638671875,707.2120971679688,7382.17431640625,868.777587890625,80.07532501220703,69.76236724853516,80.44508361816406,898.5592041015625,900.4174194335938,254.73782348632812,195.50535583496094,570.2827758789062,576.1985473632812,186.3705596923828,58.453346252441406,2631.159423828125,819.6807250976562,1527.1474609375,675.1033935546875,5183.3017578125,449.46868896484375,182.70606994628906,3575.7685546875
2021-01-05,492.9815673828125,482.79010009765625,2477.062255859375,2651.19140625,661.6871948242188,3011.869140625,498.3748474121094,879.3546142578125,40.182376861572266,493.10498046875,789.4010009765625,86.20951080322266,1024.6617431640625,2550.253173828125,933.6834716796875,792.03759765625,664.6744384765625,700.49365234375,2531.424072265625,241.55674743652344,2230.847900390625,519.6215209960938,888.6019287109375,1114.833984375,157.9241485595703,374.15179443359375,390.3193664550781,1227.613037109375,698.71533203125,7337.27197265625,877.3007202148438,78.90309143066406,68.32322692871094,80.25297546386719,887.3883056640625,894.637939453125,255.372314453125,202.2960205078125,569.3865356445312,581.4931030273438,188.22157287597656,57.40320587158203,2677.5166015625,821.2349853515625,1546.8902587890625,671.6209106445312,5196.92333984375,447.6637878417969,187.26910400390625,3839.858642578125
2021-01-06,489.4916076660156,480.2284851074219,2469.856689453125,2662.104248046875,651.5296630859375,2986.0419921875,489.73919677734375,875.915283203125,40.68656539916992,503.9455871582031,787.0630493164062,86.17761993408203,1024.93310546875,2522.080078125,956.3141479492188,781.5315551757812,661.809326171875,705.6951904296875,2544.91796875,250.0010528564453,2200.578857421875,528.7614135742188,889.2767333984375,1104.75244140625,153.40562438964844,380.2575378417969,392.4404296875,1234.8492431640625,694.9390258789062,7311.53759765625,875.2681274414062,79.10519409179688,69.76236724853516,83.7320327758789,863.986083984375,899.3306274414062,258.36334228515625,217.3754119873047,571.1320190429688,577.1048583984375,190.36489868164062,57.677330017089844,2641.5908203125,815.75390625,1548.514892578125,673.2626953125,5301.17919921875,448.7562255859375,187.31520080566406,3679.497802734375
2021-01-07,516.6135864257812,496.709716796875,2476.17431640625,2649.672607421875,668.3095092773438,2964.698974609375,494.67529296875,896.017822265625,40.25876235961914,523.0845336914062,788.7330322265625,87.07064056396484,1021.5606689453125,2526.32275390625,965.29833984375,769.0279541015625,659.8059692382812,691.2190551757812,2521.561279296875,263.3672790527344,2156.47265625,523.34521484375,917.9118041992188,1087.5621337890625,151.46377563476562,383.760009765625,388.8554382324219,1258.2962646484375,702.7750244140625,7251.58740234375,856.9286499023438,78.41802978515625,70.44598388671875,84.11622619628906,862.5868530273438,903.13427734375,260.7652893066406,237.2754364013672,567.9238891601562,573.1935424804688,191.6801300048828,60.966915130615234,2625.402587890625,813.7904052734375,1518.7281494140625,672.068603515625,5252.140625,458.3506774902344,187.4765167236328,3610.685791015625
2021-01-08,516.5137939453125,499.7546691894531,2520.543701171875,2699.4443359375,669.9029541015625,3043.344970703125,494.77264404296875,914.321044921875,40.3657112121582,518.2877807617188,800.3270874023438,89.11185455322266,1034.614013671875,2632.19775390625,975.4481811523438,794.6742553710938,666.98046875,703.6832275390625,2608.92138671875,258.8315124511719,2176.81884765625,524.2640380859375,906.10107421875,1130.6024169921875,150.4928436279297,381.34613037109375,392.500244140625,1290.671142578125,727.41552734375,7681.7822265625,865.3881225585938,80.964599609375,72.42479705810547,86.89093780517578,872.7647094726562,924.22705078125,259.22442626953125,235.2600555419922,585.7571411132812,581.4931030273438,193.04403686523438,60.15296173095703,2701.66845703125,859.8896484375,1524.882568359375,691.9188842773438,5440.70556640625,478.442138671875,198.28494262695312,3805.312744140625
2021-01-11,517.6605834960938,491.3932189941406,2517.6318359375,2703.8095703125,664.1768188476562,3119.40380859375,485.25592041015625,895.8284301757812,41.129634857177734,524.9072875976562,817.6466674804688,90.38761138916016,1049.8377685546875,2647.73828125,975.4481811523438,842.9706420898438,676.2048950195312,711.6328735351562,2639.128173828125,255.45372009277344,2211.321044921875,526.8270874023438,895.7847900390625,1185.8359375,151.23973083496094,377.7489318847656,386.017333984375,1268.6805419921875,744.975341796875,7890.57763671875,869.4158935546875,80.03489685058594,73.79196166992188,86.89093780517578,856.313232421875,924.968017578125,256.0520935058594,227.2618865966797,585.94580078125,600.0477905273438,214.96424865722656,58.67686080932617,2749.756103515625,881.5689086914062,1539.9483642578125,690.277099609375,5471.79248046875,472.5524597167969,205.9360809326172,3947.540283203125
2021-01-12,523.8927001953125,494.19647216796875,2484.761474609375,2581.634033203125,672.8904418945312,3125.353759765625,490.8977966308594,893.1268920898438,41.08380126953125,542.7511596679688,804.5736083984375,93.54512023925781,1037.637451171875,2747.36865234375,981.2758178710938,848.5631713867188,689.9718017578125,705.0573120117188,2680.84814453125,255.11598205566406,2162.890625,530.018798828125,894.3867797851562,1182.00146484375,154.18983459472656,378.2222595214844,379.1062316894531,1268.492919921875,736.2426147460938,7847.73583984375,850.8682250976562,80.964599609375,74.4395751953125,86.9549560546875,883.3036499023438,913.8535766601562,265.1158752441406,229.2500457763672,575.2365112304688,595.5641479492188,231.67234802246094,58.61359786987305,2748.37109375,870.6064453125,1503.7117919921875,681.1727905273438,5486.6796875,476.3997497558594,210.96005249023438,3984.735595703125
2021-01-13,534.5120849609375,518.749267578125,2447.202392578125,2565.64453125,684.9401245117188,3105.218017578125,477.3358459472656,876.6430053710938,40.961578369140625,554.7431030273438,803.1898803710938,93.00293731689453,1025.262451171875,2734.974609375,1003.6636352539062,843.6497802734375,685.1499633789062,700.0029296875,2687.904541015625,253.47535705566406,2159.658935546875,538.2398681640625,908.9452514648438,1195.2713623046875,157.7747802734375,381.4408264160156,374.8539733886719,1271.030029296875,782.0306396484375,7801.5390625,851.8231811523438,82.90483093261719,75.73480224609375,87.50989532470703,875.0665283203125,915.3848876953125,278.0770568847656,220.94322204589844,568.3013305664062,591.84375,236.34864807128906,59.81556701660156,2734.6064453125,875.0651245117188,1482.738037109375,669.8796997070312,5498.1123046875,467.09027099609375,211.5592498779297,4093.8125
2021-01-14,530.5733032226562,519.039306640625,2479.57958984375,2527.87646484375,673.189208984375,3083.788818359375,474.84832763671875,872.0274047851562,42.51998519897461,556.9495239257812,802.426513671875,93.54512023925781,1028.9254150390625,2752.08837890625,990.9400024414062,821.0792846679688,684.2647705078125,693.7708740234375,2695.992919921875,252.26898193359375,2183.509521484375,535.1448364257812,934.928955078125,1180.924560546875,159.94068908691406,375.2403869628906,376.9551696777344,1293.6783447265625,783.4940185546875,7810.740234375,857.17919921875,82.62189483642578,75.59090423583984,87.5525894165039,884.9058837890625,914.0017700195312,278.4849853515625,221.2337646484375,572.7833862304688,585.7382202148438,238.78424072265625,59.57939147949219,2819.386962890625,861.11669921875,1467.1307373046875,651.3231201171875,5431.55908203125,483.90435791015625,209.41600036621094,4082.885986328125
