Date,SBIN.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,BANKINDIA.NS,INDIANB.NS,CENTRALBK.NS,IOB.NS,UCOBANK.NS,MAHABANK.NS,PSB.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,AXISBANK.NS,INDUSINDBK.NS,FEDERALBNK.NS,IDFCFIRSTB.NS,RBLBANK.NS,YESBANK.NS,BANDHANBNK.NS,CUB.NS,KARURVYSYA.NS,SOUTHBANK.NS,DCBBANK.NS,KTKBANK.NS,J&KBANK.NS,AUBANK.NS,BAJFINANCE.NS,BAJAJFINSV.NS,CHOLAFIN.NS,SHRIRAMFIN.NS,LTF.NS,M&MFIN.NS,SUNDARMFIN.NS,ABCAPITAL.NS,POONAWALLA.NS,IIFL.NS,MUTHOOTFIN.NS,MANAPPURAM.NS,LICHSGFIN.NS,PNBHOUSING.NS,CANFINHOME.NS,REPCOHOME.NS,AAVAS.NS,CREDITACC.NS,SPANDANA.NS
2019-08-19,259.9948425292969,88.1067886352539,60.68003463745117,39.11910629272461,53.814422607421875,58.73383331298828,157.14991760253906,18.794692993164062,10.0,15.016435623168945,10.164777755737305,21.55653953552246,514.0662841796875,406.0837097167969,297.5112609863281,681.6260986328125,1390.7755126953125,81.63910675048828,45.16903305053711,389.1434631347656,76.6500015258789,481.00396728515625,141.36322021484375,44.83506393432617,10.959288597106934,199.3163299560547,60.64125061035156,35.10517883300781,347.9205017089844,323.268798828125,734.9691162109375,259.14215087890625,181.918701171875,90.0519790649414,174.02659606933594,1446.9827880859375,90.6500015258789,70.7535400390625,105.0763931274414,562.0012817382812,107.69971466064453,417.033203125,595.7880249023438,360.2707214355469,300.4192199707031,1618.949951171875,504.15228271484375,847.7999877929688
2019-08-20,257.1397399902344,84.75770568847656,59.14725112915039,38.12885665893555,51.80109786987305,56.64836120605469,153.7252197265625,18.505542755126953,9.899999618530273,14.87158203125,10.122068405151367,20.896162033081055,517.2692260742188,399.84954833984375,299.25103759765625,669.038330078125,1354.4755859375,80.734130859375,44.622432708740234,379.1803894042969,71.19999694824219,471.0614318847656,143.22088623046875,44.873191833496094,10.8163423538208,201.02757263183594,59.70771789550781,35.58279800415039,345.90753173828125,319.9710388183594,720.970458984375,254.1879119873047,179.98617553710938,84.29485321044922,172.38381958007812,1439.9266357421875,89.5,69.56688690185547,104.84268188476562,553.8783569335938,107.259765625,410.7138366699219,589.4920043945312,355.8840026855469,291.12176513671875,1503.0,505.49163818359375,839.8499755859375
2019-08-21,251.4295654296875,81.45154571533203,57.74972152709961,37.20631408691406,50.54277420043945,55.37154006958008,148.673828125,17.879053115844727,9.75,14.533591270446777,9.951231002807617,20.42446517944336,518.4922485351562,395.1979064941406,299.3802185058594,661.4261474609375,1318.175537109375,78.30494689941406,43.181396484375,361.8300476074219,65.4000015258789,449.2459411621094,142.7207794189453,45.52132034301758,10.482797622680664,199.60153198242188,57.80173873901367,33.67231369018555,344.9631652832031,316.79962158203125,711.9735717773438,250.80332946777344,176.96060180664062,83.04890441894531,172.52073669433594,1439.644287109375,90.0,67.1441650390625,106.33842468261719,545.5768432617188,107.91968536376953,403.91510009765625,568.1920166015625,357.62933349609375,289.69488525390625,1458.550048828125,505.59088134765625,827.5999755859375
2019-08-22,243.40806579589844,77.84483337402344,55.40547180175781,35.51357650756836,49.11667251586914,53.11581802368164,143.23715209960938,17.445329666137695,9.199999809265137,14.050747871398926,9.652267456054688,19.433902740478516,506.4375,382.7775573730469,293.9125671386719,657.8935546875,1287.7569580078125,76.59025573730469,42.73417663574219,339.5710754394531,56.29999923706055,442.53717041015625,140.0771484375,44.56819152832031,10.006306648254395,184.24757385253906,57.179378509521484,31.905115127563477,333.8048400878906,302.48681640625,674.2618408203125,244.42654418945312,172.53598022460938,80.04143524169922,167.26376342773438,1441.1497802734375,88.0,65.80918884277344,105.82427215576172,533.74951171875,103.9161376953125,360.85638427734375,551.8388061523438,347.7711486816406,287.8077697753906,1477.8499755859375,504.15228271484375,813.7999877929688
2019-08-23,245.71934509277344,80.2922592163086,57.3439826965332,36.68156433105469,49.82971954345703,54.8182487487793,142.55221557617188,17.20437240600586,9.399999618530273,13.761041641235352,9.737687110900879,18.01881217956543,503.78192138671875,379.2289123535156,292.3120422363281,660.6300659179688,1263.5087890625,76.87602996826172,43.23108673095703,344.2853088378906,59.25,443.8885498046875,137.0762176513672,45.330684661865234,10.006306648254395,187.812744140625,58.57968521118164,32.38273620605469,327.9150695800781,308.3392333984375,685.9440307617188,255.7085418701172,176.69827270507812,77.24879455566406,170.82315063476562,1433.8582763671875,86.8499984741211,67.09471130371094,107.03955841064453,546.2462768554688,106.17039489746094,370.3136291503906,525.4691772460938,349.7521667480469,283.297119140625,1481.25,512.5357666015625,816.8499755859375
2019-08-26,253.9674072265625,81.62329864501953,59.28249740600586,37.88340759277344,51.549434661865234,56.90372848510742,157.19271850585938,18.891077041625977,10.100000381469727,14.823298454284668,10.292905807495117,18.867868423461914,525.5502319335938,394.81427001953125,300.781982421875,680.3325805664062,1300.14599609375,79.06705474853516,43.032318115234375,365.23211669921875,62.900001525878906,453.3484191894531,135.4329071044922,45.10193634033203,10.625744819641113,190.42718505859375,59.66881561279297,33.958885192871094,336.7870178222656,322.899658203125,716.4520874023438,267.824462890625,178.32472229003906,82.49036407470703,181.2001495361328,1457.6146240234375,88.55000305175781,69.12190246582031,108.5820541381836,557.3595581054688,109.13184356689453,375.9792175292969,532.1331787109375,356.6387939453125,295.21820068359375,1518.5,520.9193115234375,824.9000244140625
2019-08-27,258.9524841308594,83.55546569824219,60.5447883605957,38.85673141479492,52.556095123291016,58.98920440673828,164.89825439453125,19.324798583984375,10.300000190734863,15.16128921508789,10.335615158081055,19.292394638061523,526.4354858398438,401.47998046875,298.545166015625,679.586181640625,1336.397705078125,80.06730651855469,42.98263168334961,346.763916015625,64.5,457.59564208984375,139.96995544433594,45.483192443847656,10.911639213562012,190.046875,60.874637603759766,33.7678337097168,334.74920654296875,326.1537170410156,710.045654296875,265.07745361328125,178.3159942626953,84.42373657226562,184.59524536132812,1417.7694091796875,89.4000015258789,68.18246459960938,113.20953369140625,567.267822265625,108.20362091064453,372.7106628417969,542.4765625,374.8457336425781,290.56939697265625,1543.5,520.2247924804688,846.4500122070312
2019-08-28,258.2274169921875,81.1509780883789,59.19233703613281,38.40815734863281,50.584716796875,57.627254486083984,168.06607055664062,18.842884063720703,10.100000381469727,14.77501392364502,10.250195503234863,18.962207794189453,523.5353393554688,396.0611267089844,294.9862060546875,674.859619140625,1316.8739013671875,77.97154235839844,41.88943099975586,305.0648193359375,59.5,458.2231140136719,138.0408172607422,45.063812255859375,10.673393249511719,189.47647094726562,58.92976760864258,37.397762298583984,332.7362976074219,323.1036682128906,701.023681640625,261.3985900878906,173.4279022216797,81.20145416259766,175.09442138671875,1438.51513671875,87.75,67.68803405761719,114.0508804321289,556.0652465820312,107.40801239013672,364.1686096191406,528.249267578125,379.27947998046875,293.7912902832031,1557.8499755859375,519.9271850585938,879.1500244140625
2019-08-29,248.80104064941406,78.8323974609375,58.6513557434082,37.341732025146484,50.03944396972656,56.09507369995117,163.78521728515625,18.264585494995117,10.0,14.292169570922852,10.036649703979492,19.00937271118164,518.7484130859375,387.86077880859375,288.4647521972656,657.8935546875,1302.1226806640625,76.59025573730469,42.73417663574219,310.2650451660156,57.400001525878906,449.2459411621094,137.7550048828125,44.1488151550293,10.482797622680664,190.1894989013672,58.46299362182617,35.15293884277344,328.71026611328125,320.4761962890625,695.4342041015625,262.3796691894531,169.1431121826172,79.91254425048828,172.63023376464844,1413.300537109375,88.6500015258789,66.2047348022461,112.32141876220703,549.7276000976562,108.15943145751953,361.2486267089844,529.7211303710938,376.2607727050781,285.3683776855469,1500.949951171875,520.9193115234375,891.0
2019-08-30,248.2119140625,79.51937866210938,58.516109466552734,37.341732025146484,49.36833572387695,55.797149658203125,171.1482696533203,19.0356502532959,10.449999809265137,15.306142807006836,10.719996452331543,20.094276428222656,518.9813232421875,392.8960876464844,284.6075744628906,660.6300659179688,1345.7017822265625,78.97179412841797,43.2807731628418,318.04107666015625,59.95000076293945,453.3001403808594,145.07861328125,44.30131530761719,10.387499809265137,197.8902587890625,58.38519287109375,39.69034194946289,334.8486022949219,323.70098876953125,709.3531494140625,263.6059265136719,168.96823120117188,81.07256317138672,175.20391845703125,1425.719482421875,89.30000305175781,64.47421264648438,110.49848937988281,542.0955200195312,105.06536865234375,370.7929992675781,527.0228271484375,389.56219482421875,284.8160095214844,1490.8499755859375,555.5447387695312,889.6500244140625
2019-09-03,243.27215576171875,78.53182983398438,53.55712127685547,33.34687805175781,44.96419143676758,53.49886703491211,151.15673828125,18.16820526123047,10.149999618530273,14.630160331726074,10.42103099822998,18.962207794189453,515.0213012695312,376.1117858886719,281.19769287109375,642.5196533203125,1295.75927734375,77.54286193847656,42.73417663574219,306.5713806152344,58.75,438.77252197265625,140.04139709472656,43.27193832397461,10.14925479888916,193.3268585205078,58.19070816040039,37.87538146972656,331.4439697265625,316.51312255859375,700.062255859375,262.47772216796875,168.39111328125,78.96734619140625,171.0969696044922,1432.5877685546875,87.5,63.13924026489258,108.53531646728516,541.3814697265625,104.75596618652344,358.4593811035156,522.6483154296875,381.2134094238281,286.28887939453125,1465.800048828125,551.0801391601562,902.2999877929688
2019-09-04,249.3448944091797,80.1205062866211,54.007930755615234,32.610538482666016,45.0480842590332,54.35007858276367,142.6378631591797,18.264585494995117,10.0,14.437023162841797,10.335615158081055,19.245223999023438,523.5935668945312,381.2429504394531,283.6134338378906,644.11181640625,1270.354248046875,78.06681060791016,42.436031341552734,315.80548095703125,59.45000076293945,436.455810546875,137.6121063232422,43.65319061279297,10.101605415344238,190.90252685546875,58.54078674316406,38.30523681640625,334.74920654296875,315.7117004394531,699.7433471679688,264.6360168457031,172.18618774414062,78.4947280883789,180.26922607421875,1432.0233154296875,90.4000015258789,58.93655014038086,113.39649963378906,525.671142578125,105.63997650146484,357.7621154785156,524.0791625976562,378.85504150390625,288.91241455078125,1509.699951171875,563.4322509765625,921.0999755859375
2019-09-05,247.71336364746094,80.5069351196289,55.08989334106445,32.42433547973633,45.76113510131836,54.22239685058594,142.42379760742188,18.264585494995117,10.050000190734863,14.340455055236816,10.250195503234863,19.339563369750977,520.6585083007812,373.09063720703125,280.3725891113281,646.4004516601562,1261.19482421875,77.16181182861328,42.63479995727539,312.88946533203125,61.95000076293945,433.46343994140625,140.04139709472656,43.84381103515625,10.292201042175293,189.95181274414062,58.69637680053711,37.68433380126953,335.6190185546875,319.83514404296875,697.5463256835938,263.31158447265625,171.39920043945312,78.79548645019531,175.31344604492188,1439.9736328125,91.5,56.51382827758789,113.39649963378906,527.2332763671875,105.68418884277344,344.16461181640625,517.5787963867188,371.826904296875,284.0335693359375,1550.25,580.19921875,914.5
