Date,SBIN.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,BANKINDIA.NS,INDIANB.NS,CENTRALBK.NS,IOB.NS,UCOBANK.NS,MAHABANK.NS,PSB.NS,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,AXISBANK.NS,INDUSINDBK.NS,FEDERALBNK.NS,IDFCFIRSTB.NS,RBLBANK.NS,YESBANK.NS,BANDHANBNK.NS,CUB.NS,KARURVYSYA.NS,SOUTHBANK.NS,DCBBANK.NS,CSBBANK.NS,KTKBANK.NS,J&KBANK.NS,AUBANK.NS,EQUITASBNK.NS,UJJIVANSFB.NS,SURYODAY.NS,BAJFINANCE.NS,BAJAJFINSV.NS,CHOLAFIN.NS,SHRIRAMFIN.NS,LTF.NS,M&MFIN.NS,SUNDARMFIN.NS,ABCAPITAL.NS,POONAWALLA.NS,IIFL.NS,MUTHOOTFIN.NS,MANAPPURAM.NS,LICHSGFIN.NS,PNBHOUSING.NS,CANFINHOME.NS,REPCOHOME.NS,AAVAS.NS,HOMEFIRST.NS,CREDITACC.NS,SPANDANA.NS
2021-03-26,323.7586364746094,60.75590133666992,32.45885467529297,24.739322662353516,28.438175201416016,59.32968521118164,101.24203491210938,15.710433959960938,16.049999237060547,10.574274063110352,17.85242462158203,15.23580265045166,694.7704467773438,554.8883666992188,352.1284484863281,694.760986328125,918.5867309570312,73.11320495605469,57.34330368041992,206.99774169921875,14.050000190734863,333.6042175292969,114.46549224853516,41.899436950683594,8.005044937133789,97.21007537841797,238.35000610351562,51.72983169555664,24.597505569458008,585.7490234375,59.22877883911133,28.322643280029297,275.5534973144531,504.610595703125,943.814453125,548.7137451171875,259.49053955078125,89.12535858154297,185.8266143798828,2385.72021484375,122.94999694824219,109.12162017822266,267.5313720703125,1130.2830810546875,135.93954467773438,375.6177673339844,304.3739318847656,546.2947387695312,310.8872985839844,2310.64990234375,451.7826843261719,663.73681640625,592.8499755859375
2021-03-30,327.0215148925781,62.04401397705078,32.5941047668457,24.891666412353516,28.6059513092041,59.37224197387695,98.80195617675781,15.662242889404297,15.899999618530273,10.574274063110352,17.72429847717285,15.849006652832031,723.8414916992188,567.2608032226562,354.1564636230469,691.925048828125,926.589111328125,72.20823669433594,57.8899040222168,204.00701904296875,16.299999237060547,324.7718200683594,110.37744903564453,42.31881332397461,7.814448833465576,100.68017578125,237.5,51.60146713256836,24.836315155029297,645.5913696289062,58.64236068725586,28.0440616607666,268.610107421875,505.63287353515625,947.293701171875,549.3568115234375,257.9381103515625,89.82972717285156,179.5395965576172,2422.67626953125,119.05000305175781,103.73229217529297,261.039306640625,1106.731689453125,134.8595733642578,376.2888488769531,311.7737731933594,569.4857177734375,312.5369567871094,2395.949951171875,440.85247802734375,674.25341796875,591.6500244140625
2021-03-31,330.19390869140625,63.63267517089844,33.044925689697266,25.763425827026367,28.56400489807129,57.75493621826172,99.40128326416016,15.710433959960938,16.0,10.62255859375,17.76700782775879,16.603723526000977,695.8651733398438,558.2931518554688,348.53961181640625,694.0148315429688,920.2257690429688,72.20823669433594,55.35566711425781,203.51670837402344,15.600000381469727,327.1367492675781,111.84770202636719,42.395057678222656,7.862098217010498,97.5428237915039,232.89999389648438,52.28605651855469,24.50197982788086,610.27734375,58.88670349121094,28.322643280029297,271.4866943359375,501.3783264160156,963.8671875,552.8193359375,258.24676513671875,90.01753997802734,178.6863555908203,2454.619140625,119.30000305175781,108.87439727783203,273.1029052734375,1102.935791015625,134.27459716796875,383.1336975097656,306.540771484375,582.1483764648438,317.7215576171875,2420.85009765625,441.5417175292969,665.4730834960938,606.2000122070312
2021-04-01,335.9494323730469,64.92079162597656,34.44245910644531,26.465909957885742,29.27705955505371,59.49993133544922,101.11361694335938,16.48149871826172,16.950000762939453,11.05711841583252,18.32222557067871,17.405607223510742,692.6505737304688,570.0901489257812,358.7890625,709.4881591796875,957.6826782226562,75.11369323730469,56.69731903076172,211.99862670898438,15.699999809265137,338.72021484375,115.54129028320312,43.27193832397461,8.290940284729004,99.20657348632812,236.1999969482422,55.666263580322266,25.45722198486328,630.1834716796875,60.45049285888672,29.622697830200195,271.1395263671875,513.28515625,975.9197998046875,556.479736328125,267.3979187011719,93.44544219970703,183.49143981933594,2501.0771484375,121.55000305175781,114.31317138671875,284.8273620605469,1110.66455078125,141.5643310546875,387.2943420410156,321.38128662109375,579.966796875,317.5801696777344,2418.0,455.2784118652344,661.6533813476562,618.5
2021-04-05,320.4503173828125,62.430450439453125,33.31541442871094,24.840885162353516,28.56400489807129,57.24421310424805,98.15982818603516,15.710433959960938,16.25,10.815695762634277,18.15138816833496,16.839570999145508,675.3430786132812,547.8869018554688,349.7723388671875,681.8748168945312,903.7388916015625,72.77979278564453,53.96432113647461,202.24195861816406,15.5,323.8065185546875,112.09871673583984,42.0138053894043,8.005044937133789,96.7347183227539,238.75,53.526893615722656,24.884077072143555,610.6004638671875,57.81159210205078,28.8333797454834,262.708251953125,483.1383361816406,945.2301025390625,538.52392578125,258.91131591796875,89.50102233886719,175.58775329589844,2461.54248046875,120.1500015258789,115.94480895996094,270.72894287109375,1083.0888671875,139.58438110351562,374.4098205566406,310.46551513671875,548.8556518554688,303.9588317871094,2361.75,441.00018310546875,625.6885375976562,608.25
2021-04-06,317.73114013671875,62.55925369262695,33.405574798583984,25.052478790283203,29.528724670410156,56.690921783447266,97.43209838867188,15.710433959960938,16.049999237060547,10.767411231994629,17.937841415405273,16.839570999145508,670.987060546875,542.7557373046875,351.58160400390625,674.56103515625,894.0010986328125,73.2084732055664,54.95813751220703,207.97830200195312,15.600000381469727,325.88189697265625,111.52496337890625,41.59444046020508,8.052695274353027,94.07273864746094,242.85000610351562,53.22738265991211,24.645265579223633,607.91650390625,57.46950912475586,28.6940860748291,261.26995849609375,486.11749267578125,949.0033569335938,534.2205810546875,262.38427734375,90.1584243774414,178.28216552734375,2451.32470703125,119.3499984741211,115.30204772949219,273.7811584472656,1101.4727783203125,138.5044403076172,375.3493347167969,313.6543884277344,537.805419921875,303.2518615722656,2376.0,445.3328857421875,612.0467529296875,611.0499877929688
2021-04-07,324.982177734375,63.63267517089844,33.90147399902344,25.331777572631836,30.870939254760742,58.47846984863281,98.7591323852539,16.04777717590332,16.149999618530273,10.960549354553223,18.1940975189209,16.88673973083496,674.2249755859375,554.0252075195312,356.29376220703125,684.8600463867188,911.6449584960938,75.30422973632812,57.44268035888672,211.99862670898438,15.600000381469727,337.6101379394531,118.6611328125,42.58568572998047,8.052695274353027,94.78577423095703,256.95001220703125,53.69804763793945,24.836315155029297,612.91162109375,55.80797576904297,28.6940860748291,262.708251953125,494.2955627441406,951.0072021484375,571.8633422851562,270.8436279296875,92.31847381591797,177.6085662841797,2446.406982421875,127.6500015258789,117.92254638671875,273.054443359375,1102.7073974609375,141.20428466796875,374.8124694824219,313.81793212890625,538.090087890625,301.9792175292969,2363.050048828125,453.2597351074219,615.07275390625,610.0499877929688
2021-04-08,322.308349609375,63.1174430847168,33.766231536865234,24.91705894470215,30.70315933227539,58.052860260009766,97.1324234008789,15.903202056884766,16.049999237060547,10.912264823913574,18.108678817749023,16.65089225769043,667.5162963867188,553.1140747070312,354.5541076660156,678.2427978515625,901.3768310546875,74.11345672607422,57.0948486328125,209.10595703125,15.550000190734863,342.7261657714844,119.12731170654297,43.80569076538086,8.100343704223633,96.44951629638672,265.8999938964844,54.04034423828125,24.884077072143555,622.23095703125,55.31929016113281,28.276212692260742,265.1880187988281,489.661376953125,962.491455078125,556.9249877929688,272.4114990234375,92.83499145507812,175.22850036621094,2435.90234375,127.80000305175781,116.83479309082031,271.4556579589844,1131.380615234375,141.7443084716797,375.6177673339844,318.92828369140625,537.6157836914062,301.7436218261719,2389.550048828125,496.24212646484375,609.864013671875,608.0
2021-04-09,319.9518127441406,63.54680633544922,34.12688064575195,25.17943000793457,31.793710708618164,63.41551971435547,101.02800750732422,17.493520736694336,17.899999618530273,11.539961814880371,21.141029357910156,18.160322189331055,662.3683471679688,543.0435180664062,357.7352600097656,664.9088134765625,890.5302124023438,74.01819610595703,55.455047607421875,206.94869995117188,15.449999809265137,346.4908142089844,118.73286437988281,45.36881637573242,8.243290901184082,96.63965606689453,268.54998779296875,54.93886947631836,25.743797302246094,583.7609252929688,55.074947357177734,28.276212692260742,263.055419921875,474.3567199707031,959.9244995117188,551.9290161132812,267.9266052246094,92.08367919921875,173.25253295898438,2414.32080078125,125.25,116.04369354248047,269.56622314453125,1128.49951171875,141.38436889648438,371.94927978515625,325.7966613769531,524.0521240234375,298.3500061035156,2327.199951171875,484.6225891113281,609.6655883789062,598.2999877929688
2021-04-12,298.0627136230469,56.76275634765625,30.610504150390625,22.377954483032227,28.85761833190918,56.733482360839844,89.64094543457031,16.288734436035156,16.100000381469727,10.767411231994629,19.51807975769043,16.367874145507812,636.884521484375,516.5242919921875,346.4520263671875,632.4692993164062,814.1219482421875,67.82618713378906,50.23750305175781,184.98397827148438,14.449999809265137,316.1806945800781,114.46549224853516,41.28943634033203,7.719151496887207,87.75051879882812,253.5500030517578,52.54278564453125,23.546735763549805,535.052001953125,50.87224578857422,27.0225887298584,247.97833251953125,439.1812744140625,913.4785766601562,505.3825988769531,237.17047119140625,83.20870971679688,153.53823852539062,2327.2783203125,113.5,110.25881958007812,256.0975646972656,1060.9093017578125,130.89971923828125,342.8249816894531,298.6911926269531,485.7796936035156,272.3798828125,2171.550048828125,435.8304443359375,557.6282348632812,567.8499755859375
