Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TMPV.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,LTM.NS
2021-01-01,489.74090576171875,487.0433654785156,2383.68359375,2633.82568359375,621.2062377929688,3002.03857421875,514.0641479492188,884.2991943359375,38.62397384643555,494.20819091796875,788.7807006835938,86.33708190917969,1015.8336791992188,2424.213134765625,906.5849609375,759.4006958007812,663.9056396484375,665.8002319335938,2560.681396484375,230.024169921875,2173.496337890625,510.1914978027344,867.8728637695312,1086.0972900390625,159.7166290283203,368.8980712890625,397.15081787109375,1218.8731689453125,691.4932250976562,7371.6318359375,872.2166137695312,80.0753173828125,67.0639877319336,80.89329528808594,897.0470581054688,884.6102294921875,253.24234008789062,194.43405151367188,562.5928955078125,573.813720703125,181.69424438476562,54.24435806274414,2534.89697265625,800.0465698242188,1534.729248046875,671.272705078125,5147.88525390625,445.8113708496094,178.8804931640625,3439.95751953125
2021-01-04,493.0812683105469,482.2584533691406,2378.156005859375,2613.09130859375,622.1024780273438,3037.567138671875,507.83807373046875,887.1205444335938,40.12126159667969,496.07891845703125,794.1721801757812,87.54905700683594,1021.8223266601562,2531.94775390625,936.7430419921875,783.2891845703125,659.6895141601562,682.9260864257812,2512.152587890625,245.41700744628906,2208.95361328125,514.2536010742188,865.6552124023438,1110.0518798828125,159.38055419921875,381.582763671875,391.4745178222656,1235.4129638671875,707.212158203125,7382.1748046875,868.7775268554688,80.0753173828125,69.76237487792969,80.4450912475586,898.5590209960938,900.41748046875,254.73782348632812,195.50531005859375,570.2828979492188,576.1985473632812,186.3705596923828,58.453346252441406,2631.1591796875,819.6807861328125,1527.147216796875,675.1034545898438,5183.30126953125,449.4686584472656,182.70608520507812,3575.768310546875
2021-01-05,492.9815673828125,482.79010009765625,2477.062255859375,2651.19140625,661.687255859375,3011.869140625,498.3748474121094,879.3546752929688,40.182373046875,493.1049499511719,789.4009399414062,86.2094955444336,1024.6617431640625,2550.2529296875,933.6834716796875,792.0377197265625,664.67431640625,700.49365234375,2531.424072265625,241.55674743652344,2230.847900390625,519.6215209960938,888.6019287109375,1114.8341064453125,157.92413330078125,374.1518249511719,390.3193359375,1227.613037109375,698.7153930664062,7337.27197265625,877.3008422851562,78.90306854248047,68.32322692871094,80.25299072265625,887.3883056640625,894.6378784179688,255.372314453125,202.29600524902344,569.386474609375,581.4930419921875,188.22158813476562,57.40320587158203,2677.516357421875,821.2349853515625,1546.8902587890625,671.6209716796875,5196.92333984375,447.6637878417969,187.26910400390625,3839.8583984375
2021-01-06,489.4916076660156,480.2284851074219,2469.856201171875,2662.10400390625,651.5296020507812,2986.042236328125,489.73919677734375,875.9153442382812,40.68656539916992,503.945556640625,787.0630493164062,86.17761993408203,1024.93310546875,2522.079833984375,956.3141479492188,781.5316162109375,661.8092041015625,705.6951904296875,2544.91748046875,250.0010528564453,2200.5791015625,528.761474609375,889.2767944335938,1104.7523193359375,153.4056396484375,380.2574768066406,392.44049072265625,1234.84912109375,694.9390258789062,7311.53759765625,875.2681274414062,79.10519409179688,69.76237487792969,83.73204040527344,863.9859619140625,899.3306274414062,258.36334228515625,217.37539672851562,571.132080078125,577.1049194335938,190.3649139404297,57.67733383178711,2641.591064453125,815.75390625,1548.514892578125,673.2627563476562,5301.1787109375,448.7562255859375,187.315185546875,3679.497802734375
2021-01-07,516.6135864257812,496.70977783203125,2476.174072265625,2649.672607421875,668.3095703125,2964.69921875,494.6752624511719,896.0178833007812,40.258766174316406,523.0845336914062,788.7330322265625,87.07064056396484,1021.560791015625,2526.32275390625,965.29833984375,769.0279541015625,659.8058471679688,691.2191772460938,2521.561279296875,263.3672790527344,2156.47265625,523.3451538085938,917.9118041992188,1087.5621337890625,151.46377563476562,383.7599792480469,388.85546875,1258.296142578125,702.7749633789062,7251.5869140625,856.9285888671875,78.41804504394531,70.44596099853516,84.11621856689453,862.5869140625,903.1343383789062,260.7652587890625,237.27545166015625,567.924072265625,573.1935424804688,191.6801300048828,60.96691131591797,2625.4033203125,813.7904663085938,1518.7281494140625,672.0686645507812,5252.14013671875,458.3507080078125,187.4765167236328,3610.685546875
2021-01-08,516.5138549804688,499.7546691894531,2520.54345703125,2699.444580078125,669.9029541015625,3043.3447265625,494.7726135253906,914.321044921875,40.36572265625,518.2879028320312,800.3271484375,89.11186981201172,1034.6138916015625,2632.197998046875,975.4482421875,794.6741943359375,666.9805297851562,703.6832275390625,2608.921875,258.8314514160156,2176.818603515625,524.2639770507812,906.10107421875,1130.602783203125,150.4928436279297,381.3460998535156,392.5002136230469,1290.671142578125,727.4154663085938,7681.7822265625,865.3880615234375,80.96459197998047,72.42477416992188,86.89093017578125,872.7647094726562,924.2269897460938,259.22442626953125,235.2600555419922,585.757080078125,581.4930419921875,193.04403686523438,60.152957916259766,2701.668212890625,859.8896484375,1524.88232421875,691.9187622070312,5440.70556640625,478.442138671875,198.28492736816406,3805.3125
2021-01-11,517.6605834960938,491.3932189941406,2517.632080078125,2703.809814453125,664.1768188476562,3119.403564453125,485.2558898925781,895.828369140625,41.129638671875,524.9073486328125,817.6466064453125,90.38762664794922,1049.8377685546875,2647.738525390625,975.4482421875,842.9705810546875,676.2048950195312,711.6328735351562,2639.12841796875,255.45372009277344,2211.32080078125,526.8270263671875,895.7847290039062,1185.8360595703125,151.23971557617188,377.7489318847656,386.017333984375,1268.6806640625,744.9754028320312,7890.57763671875,869.415771484375,80.03490447998047,73.7919692993164,86.89093017578125,856.3131713867188,924.9679565429688,256.05206298828125,227.2618865966797,585.94580078125,600.0479125976562,214.9642791748047,58.67686080932617,2749.75634765625,881.5689697265625,1539.9481201171875,690.2771606445312,5471.79296875,472.552490234375,205.9361114501953,3947.5400390625
2021-01-12,523.8926391601562,494.196533203125,2484.76171875,2581.634033203125,672.8905029296875,3125.35400390625,490.8977966308594,893.1268310546875,41.08381652832031,542.7511596679688,804.5735473632812,93.54513549804688,1037.637451171875,2747.36865234375,981.27587890625,848.5631713867188,689.9718017578125,705.057373046875,2680.84814453125,255.11593627929688,2162.89013671875,530.0187377929688,894.3867797851562,1182.0015869140625,154.1898193359375,378.2222595214844,379.1061706542969,1268.4927978515625,736.24267578125,7847.73583984375,850.8682861328125,80.96459197998047,74.4395751953125,86.9549560546875,883.3037109375,913.8535766601562,265.11590576171875,229.2500762939453,575.2365112304688,595.5640869140625,231.67233276367188,58.61360168457031,2748.37109375,870.6064453125,1503.7117919921875,681.1729125976562,5486.6796875,476.3997497558594,210.96006774902344,3984.735595703125
2021-01-13,534.5120849609375,518.749267578125,2447.202880859375,2565.644287109375,684.9401245117188,3105.2177734375,477.33587646484375,876.6430053710938,40.961585998535156,554.7430419921875,803.1898803710938,93.00294494628906,1025.262451171875,2734.974365234375,1003.6636962890625,843.6497192382812,685.1499633789062,700.0029296875,2687.905029296875,253.47532653808594,2159.65869140625,538.2399291992188,908.9452514648438,1195.2711181640625,157.77479553222656,381.4407958984375,374.8539733886719,1271.030029296875,782.03076171875,7801.53955078125,851.8231811523438,82.90483093261719,75.73480224609375,87.5099105834961,875.0665893554688,915.3848876953125,278.0770568847656,220.94322204589844,568.3013916015625,591.84375,236.34866333007812,59.81556701660156,2734.607177734375,875.0650024414062,1482.7379150390625,669.8796997070312,5498.11181640625,467.0903015136719,211.55923461914062,4093.812255859375
2021-01-14,530.5733642578125,519.039306640625,2479.5791015625,2527.876708984375,673.189208984375,3083.7890625,474.8482971191406,872.02734375,42.51998519897461,556.9495239257812,802.4264526367188,93.54513549804688,1028.925537109375,2752.088134765625,990.9400024414062,821.079345703125,684.2647094726562,693.7708740234375,2695.992919921875,252.2689666748047,2183.509765625,535.1448974609375,934.928955078125,1180.924560546875,159.940673828125,375.2403869628906,376.95513916015625,1293.678466796875,783.4940185546875,7810.740234375,857.17919921875,82.62188720703125,75.59089660644531,87.5525894165039,884.9059448242188,914.0017700195312,278.4849548339844,221.2337646484375,572.7833251953125,585.73828125,238.78424072265625,59.57938766479492,2819.386962890625,861.11669921875,1467.1307373046875,651.3230590820312,5431.5595703125,483.90435791015625,209.41600036621094,4082.885498046875
