Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2021-01-01,489.7408752441406,487.0433654785156,2383.682861328125,2633.825439453125,620.7274780273438,3002.038818359375,514.064208984375,884.2991943359375,129.1801300048828,488.06573486328125,3238.980712890625,788.7807006835938,85.19891357421875,3718.38818359375,1009.43212890625,2399.090087890625,903.76953125,751.7259521484375,663.90576171875,665.8001708984375,2523.56201171875,228.8304443359375,2173.49658203125,505.9263000488281,159.71661376953125,867.8728637695312,1086.0972900390625,366.791259765625,396.4663391113281,1218.8731689453125,691.4931030273438,7298.33447265625,80.07533264160156,868.0439453125,67.0639877319336,80.89329528808594,897.047119140625,884.6102294921875,194.43405151367188,253.24232482910156,561.1223754882812,2521.07421875,573.8135986328125,54.24435806274414,800.046630859375,1529.7098388671875,5044.90966796875,176.86058044433594
2021-01-04,493.0812683105469,482.25848388671875,2378.155517578125,2613.091064453125,621.623046875,3037.56689453125,507.83807373046875,887.1205444335938,133.712158203125,489.9132385253906,3225.4541015625,794.1721801757812,86.3948974609375,3731.139892578125,1015.3829956054688,2505.708251953125,933.8338012695312,775.3731689453125,659.689453125,682.9261474609375,2475.736572265625,244.1433868408203,2208.953857421875,509.9544372558594,159.38052368164062,865.6552734375,1110.0518798828125,379.40350341796875,390.7998352050781,1235.4129638671875,707.2120971679688,7308.7724609375,80.07533264160156,864.6213989257812,69.76237487792969,80.44508361816406,898.5591430664062,900.41748046875,195.5053253173828,254.73782348632812,568.7921142578125,2616.811767578125,576.1985473632812,58.45333480834961,819.6807861328125,1522.1527099609375,5079.6181640625,180.6429901123047
2021-01-05,492.9815673828125,482.7901306152344,2477.06201171875,2651.19140625,661.1773071289062,3011.869140625,498.3748474121094,879.3545532226562,132.5791473388672,486.9762268066406,3223.819580078125,789.4010009765625,85.072998046875,3711.67431640625,1018.2045288085938,2523.82373046875,930.7838134765625,784.0333251953125,664.6744384765625,700.4937133789062,2494.72802734375,240.3031463623047,2230.847412109375,515.2774658203125,157.9241485595703,888.6019897460938,1114.833984375,372.0149841308594,389.6466369628906,1227.613037109375,698.7153930664062,7264.31640625,78.90308380126953,873.103759765625,68.32322692871094,80.25297546386719,887.3882446289062,894.637939453125,202.2960205078125,255.372314453125,567.898193359375,2662.915771484375,581.4931030273438,57.40320587158203,821.2350463867188,1541.8309326171875,5092.9677734375,185.1544952392578
2021-01-06,489.49163818359375,480.2284851074219,2469.856689453125,2662.103759765625,651.027587890625,2986.041748046875,489.7392272949219,875.915283203125,130.98956298828125,497.68206787109375,3213.470458984375,787.0630493164062,85.0415267944336,3748.142333984375,1018.4743041992188,2495.94287109375,953.34423828125,773.6332397460938,661.809326171875,705.6951904296875,2508.026611328125,248.70362854003906,2200.578857421875,524.3409423828125,153.4056396484375,889.2767944335938,1104.752197265625,378.0858459472656,391.7641296386719,1234.84912109375,694.9390258789062,7238.837890625,79.10518646240234,871.0807495117188,69.76237487792969,83.73204803466797,863.9861450195312,899.3306884765625,217.37539672851562,258.36334228515625,569.6390991210938,2627.185791015625,577.1049194335938,57.67733383178711,815.75390625,1543.450439453125,5195.13818359375,185.20005798339844
2021-01-07,516.6135864257812,496.7097473144531,2476.174072265625,2649.6728515625,667.7945556640625,2964.698974609375,494.6752624511719,896.0178833007812,132.6468048095703,516.583251953125,3225.36328125,788.7329711914062,85.92279052734375,3673.949462890625,1015.123046875,2500.1416015625,962.300537109375,761.2560424804688,659.8059692382812,691.2191772460938,2485.008544921875,262.0004577636719,2156.472412109375,518.9700317382812,151.46376037597656,917.9117431640625,1087.56201171875,381.56829833984375,388.185302734375,1258.2962646484375,702.77490234375,7179.48291015625,78.41802978515625,852.8291015625,70.44597625732422,84.11621856689453,862.5869750976562,903.1343383789062,237.27540588378906,260.7652587890625,566.439453125,2611.086181640625,573.1935424804688,60.9669189453125,813.7903442382812,1513.7611083984375,5147.07958984375,185.35955810546875
2021-01-08,516.5137939453125,499.7546691894531,2520.543701171875,2699.444580078125,669.3866577148438,3043.344482421875,494.7726135253906,914.3209228515625,135.33560180664062,511.8460998535156,3245.743896484375,800.3270874023438,87.93710327148438,3728.14501953125,1028.0941162109375,2604.91943359375,972.4188232421875,786.64306640625,666.98046875,703.683349609375,2571.1025390625,257.4881896972656,2176.81884765625,519.8811645507812,150.4928741455078,906.10107421875,1130.6026611328125,379.168212890625,391.82379150390625,1290.671142578125,727.4154663085938,7605.40087890625,80.96459197998047,861.2481079101562,72.4247817993164,86.89092254638672,872.7647094726562,924.22705078125,235.2600555419922,259.2244567871094,584.2259521484375,2686.9365234375,581.4931030273438,60.1529655456543,859.8895263671875,1519.895263671875,5331.87353515625,196.04592895507812
2021-01-11,517.6605834960938,491.39324951171875,2517.631591796875,2703.8095703125,663.6650390625,3119.40380859375,485.255859375,895.8284301757812,135.87672424316406,518.3834228515625,3279.87890625,817.6466064453125,89.19603729248047,3692.642333984375,1043.2220458984375,2620.299072265625,972.4188232421875,834.4515991210938,676.204833984375,711.6328125,2600.87109375,254.12799072265625,2211.32080078125,522.4228515625,151.23971557617188,895.7847290039062,1185.8360595703125,375.5915832519531,385.35205078125,1268.6807861328125,744.9754028320312,7812.12060546875,80.03490447998047,865.2564697265625,73.79197692871094,86.89092254638672,856.3131713867188,924.968017578125,227.26187133789062,256.05206298828125,584.4142456054688,2734.76220703125,600.0478515625,58.67686462402344,881.56884765625,1534.91162109375,5362.33837890625,203.61070251464844
2021-01-12,523.8927001953125,494.1965026855469,2484.761962890625,2581.6337890625,672.3718872070312,3125.35400390625,490.8977966308594,893.1268310546875,136.1472625732422,536.0054321289062,3296.946044921875,804.5735473632812,92.31190490722656,3639.606201171875,1031.0985107421875,2718.896728515625,978.2284545898438,839.9876098632812,689.9718017578125,705.057373046875,2641.986572265625,253.7919921875,2162.890869140625,525.5877685546875,154.18984985351562,894.3867797851562,1182.001708984375,376.0621643066406,378.45281982421875,1268.4927978515625,736.2427368164062,7769.70458984375,80.96459197998047,846.7977294921875,74.43958282470703,86.9549560546875,883.3035888671875,913.8535766601562,229.2500762939453,265.11590576171875,573.73291015625,2733.384033203125,595.5641479492188,58.613590240478516,870.6063842773438,1498.7938232421875,5376.927734375,208.57794189453125
2021-01-13,534.5120849609375,518.749267578125,2447.202880859375,2565.64453125,684.4122314453125,3105.21826171875,477.3358459472656,876.6429443359375,139.30955505371094,547.8482055664062,3287.41357421875,803.1898803710938,91.77685546875,3593.13916015625,1018.8015747070312,2706.630859375,1000.5466918945312,835.1236572265625,685.1499633789062,700.0029296875,2648.94091796875,252.15988159179688,2159.658935546875,533.7401123046875,157.7747802734375,908.9453125,1195.271484375,379.2623291015625,374.2078857421875,1271.030029296875,782.0305786132812,7723.96728515625,82.90482330322266,847.7479858398438,75.73480224609375,87.50990295410156,875.0665283203125,915.3848266601562,220.94322204589844,278.07708740234375,566.8158569335938,2719.6953125,591.8436889648438,59.815555572509766,875.0650634765625,1477.8885498046875,5388.1318359375,209.1703643798828
2021-01-14,530.5733642578125,519.0391845703125,2479.5791015625,2527.876220703125,672.67041015625,3083.788818359375,474.8482971191406,872.0274047851562,144.31512451171875,550.0274047851562,3327.630859375,802.426513671875,92.31190490722656,3598.25927734375,1022.4415283203125,2723.5673828125,987.862548828125,812.7815551757812,684.2647705078125,693.7708129882812,2656.911376953125,250.95980834960938,2183.509765625,530.6710205078125,159.94068908691406,934.9288940429688,1180.924560546875,373.097412109375,376.3055419921875,1293.678466796875,783.494140625,7733.07666015625,82.62187957763672,853.0784301757812,75.59088897705078,87.5525894165039,884.9059448242188,914.0017700195312,221.23374938964844,278.4849853515625,571.2860717773438,2804.012451171875,585.7383422851562,59.57939147949219,861.1167602539062,1462.332275390625,5322.91015625,207.0513153076172
